lab,subid,trial_num,trial_error_recoded,trial_error_new,trial_error_change_reason
infantlanglabutk,mbir64ms9,2,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,3,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,4,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,5,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,6,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,7,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,8,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,9,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,10,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,11,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,12,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,13,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,14,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,15,1,noerror,not excluding for language at trial level
infantlanglabutk,mbir64ms9,16,1,noerror,not excluding for language at trial level
