lab;subid;trial_type;stimulus;trial_num;looking_time;total_trial_time;trial_error;trial_error_type;notes;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS2;3;2.68;7.59;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS2;4;0.26;4.01;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS3;5;1.31;4.12;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS3;6;1.47;6.14;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS4;7;5.08;12.56;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS4;8;1.51;9.47;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS5;9;0.28;3.62;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS5;10;0.91;3.57;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS6;11;0.00;7.68;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS6;12;0.27;3.51;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS7;13;0.83;9.80;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS7;14;1.16;3.78;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS8;15;0.00;2.83;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS8;16;1.54;5.35;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_025;training;train1;-2;5.72;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_025;training;train2;-1;1.68;6.88;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_025;IDS;IDS1;1;2.07;13.98;noerror;NA;NC;;;;;;;;;;;;;;;;
